==============================
Date/Time: 27-10-2021 22-35-18
==============================

==============================
Date/Time: 27-10-2021 22-37-05
==============================

==============================
Date/Time: 27-10-2021 22-44-56
==============================

==============================
RPM:   2263.8	Δt: 26.504
RPM:     2307	Δt: 26.008
RPM:     2345	Δt: 25.586
RPM:   2376.5	Δt: 25.247
RPM:   2406.8	Δt: 24.929
RPM:   2442.8	Δt: 24.562
RPM:   2453.3	Δt: 24.457
RPM:   2465.2	Δt: 24.339
RPM:   2486.6	Δt: 24.129
RPM:   2487.8	Δt: 24.118
RPM:   2496.9	Δt: 24.03
RPM:   2512.7	Δt: 23.879
RPM:   2515.2	Δt: 23.855
RPM:     2517	Δt: 23.838
RPM:   2527.9	Δt: 23.735
RPM:   2522.2	Δt: 23.789
RPM:   2523.9	Δt: 23.773
RPM:   2537.7	Δt: 23.643
RPM:   2535.7	Δt: 23.662
RPM:   2533.4	Δt: 23.684
RPM:   2530.7	Δt: 23.709
RPM:   2531.9	Δt: 23.698
RPM:     2546	Δt: 23.566
RPM:   2534.3	Δt: 23.675
RPM:   2538.4	Δt: 23.637
RPM:   2538.9	Δt: 23.632
RPM:   2534.9	Δt: 23.67
RPM:   2545.6	Δt: 23.57
RPM:   2538.8	Δt: 23.633
RPM:   2545.5	Δt: 23.571
RPM:     2536	Δt: 23.659
RPM:   2540.4	Δt: 23.618
RPM:   2511.9	Δt: 23.886
RPM:   2473.3	Δt: 24.259
RPM:     2429	Δt: 24.702
RPM:   2406.4	Δt: 24.934
RPM:   2379.6	Δt: 25.214
RPM:   2359.8	Δt: 25.426
RPM:   2343.1	Δt: 25.607
RPM:   2330.4	Δt: 25.747
RPM:   2315.4	Δt: 25.914
RPM:   2305.2	Δt: 26.028
RPM:   2306.1	Δt: 26.018
RPM:   2295.9	Δt: 26.134
RPM:   2291.9	Δt: 26.179
RPM:   2286.3	Δt: 26.243
RPM:   2284.5	Δt: 26.264
RPM:   2282.9	Δt: 26.282
RPM:   2280.2	Δt: 26.314
RPM:   2278.7	Δt: 26.331
RPM:     2275	Δt: 26.374
RPM:   2269.7	Δt: 26.435
RPM:   2272.6	Δt: 26.402
RPM:   2275.9	Δt: 26.363
RPM:   2272.8	Δt: 26.399
RPM:   2268.3	Δt: 26.452
RPM:   2269.4	Δt: 26.439
RPM:   2278.3	Δt: 26.335
RPM:   2273.6	Δt: 26.39
RPM:   2274.1	Δt: 26.384
RPM:   2270.9	Δt: 26.421
RPM:     2241	Δt: 26.774
RPM:   2190.9	Δt: 27.386
RPM:   2157.2	Δt: 27.814
RPM:   2124.1	Δt: 28.247
RPM:   2098.7	Δt: 28.589
RPM:   2078.6	Δt: 28.866
RPM:   2066.4	Δt: 29.036
RPM:   2050.4	Δt: 29.262
RPM:   2037.5	Δt: 29.448
RPM:   2036.1	Δt: 29.468
RPM:   2028.7	Δt: 29.576
RPM:   2019.3	Δt: 29.713
RPM:   2017.9	Δt: 29.734
RPM:   2017.5	Δt: 29.74
RPM:   2011.4	Δt: 29.83
RPM:   2016.9	Δt: 29.748
RPM:   2007.8	Δt: 29.884
RPM:   2010.3	Δt: 29.846
RPM:     2011	Δt: 29.836
RPM:   2008.5	Δt: 29.873
RPM:     2007	Δt: 29.896
RPM:   2009.8	Δt: 29.854
RPM:   2005.3	Δt: 29.921
RPM:     2012	Δt: 29.821
RPM:   2004.8	Δt: 29.928
RPM:   1996.4	Δt: 30.054
RPM:   1944.5	Δt: 30.856
RPM:   1902.9	Δt: 31.53
RPM:   1867.1	Δt: 32.135
RPM:   1844.7	Δt: 32.526
RPM:     1819	Δt: 32.985
RPM:   1808.3	Δt: 33.181
RPM:   1791.2	Δt: 33.498
RPM:   1779.6	Δt: 33.715
RPM:   1778.5	Δt: 33.736
RPM:   1770.9	Δt: 33.881
RPM:   1767.7	Δt: 33.943
RPM:   1758.9	Δt: 34.113
RPM:   1765.6	Δt: 33.982
RPM:   1765.7	Δt: 33.981
RPM:   1756.6	Δt: 34.157
RPM:     1761	Δt: 34.072
RPM:   1758.6	Δt: 34.119
RPM:   1752.4	Δt: 34.238
RPM:   1762.1	Δt: 34.05
RPM:     1753	Δt: 34.228
RPM:   1760.6	Δt: 34.079
RPM:   1756.1	Δt: 34.167
RPM:   1715.9	Δt: 34.967
RPM:   1651.9	Δt: 36.322
RPM:   1611.2	Δt: 37.239
RPM:   1572.3	Δt: 38.16
RPM:   1548.1	Δt: 38.756
RPM:   1536.1	Δt: 39.061
RPM:   1517.5	Δt: 39.54
RPM:   1508.3	Δt: 39.779
RPM:   1502.2	Δt: 39.941
RPM:     1500	Δt: 39.999
RPM:   1494.4	Δt: 40.151
RPM:   1493.7	Δt: 40.17
RPM:   1491.4	Δt: 40.231
RPM:   1490.5	Δt: 40.256
RPM:   1484.4	Δt: 40.421
RPM:   1488.4	Δt: 40.312
RPM:   1489.1	Δt: 40.293
RPM:   1490.9	Δt: 40.245
RPM:   1485.1	Δt: 40.401
RPM:   1447.5	Δt: 41.451
RPM:   1373.7	Δt: 43.679
RPM:     1323	Δt: 45.351
RPM:   1287.4	Δt: 46.604
RPM:   1259.6	Δt: 47.634
RPM:   1243.2	Δt: 48.261
RPM:   1231.9	Δt: 48.707
RPM:   1225.7	Δt: 48.953
RPM:   1221.7	Δt: 49.111
RPM:   1218.5	Δt: 49.239
RPM:   1218.4	Δt: 49.245
RPM:     1215	Δt: 49.384
RPM:   1216.8	Δt: 49.31
RPM:   1214.1	Δt: 49.42
RPM:   1216.8	Δt: 49.311
RPM:   1209.7	Δt: 49.599
RPM:   1135.1	Δt: 52.857
RPM:   1061.7	Δt: 56.514
RPM:   1012.4	Δt: 59.264
RPM:   985.32	Δt: 60.894
RPM:   965.75	Δt: 62.128
RPM:   953.94	Δt: 62.897
RPM:   947.99	Δt: 63.292
