RPM,deltaT
1895.91,31647
1894.12,31677
1898.07,31611
1898.91,31597
1902.59,31536
1900.3,31574
1907.61,31453
1904.64,31502
1912.96,31365
1914.49,31340
1910.71,31402
1913.2,31361
1916.5,31307
1920.55,31241
1914.49,31340
1920.55,31241
1921.6,31224
1921.41,31227
1925.05,31168
1926.16,31150
1925.61,31159
1924,31185
1927.65,31126
1927.15,31134
1928.08,31119
1928.02,31120
1928.08,31119
1926.41,31146
1931,31072
1928.7,31109
1929.01,31104
1930.13,31086
1931.25,31068
1933.92,31025
1930.69,31077
1928.95,31105
1931.06,31071
1934.3,31019
1931.99,31056
1929.2,31101
1935.17,31005
1930.32,31083
1931.25,31068
1931.99,31056
1931.81,31059
1929.26,31100
1934.86,31010
1932.68,31045
1936.23,30988
1929.63,31094
1933.43,31033
1934.55,31015
1934.92,31009
1939.36,30938
1934.86,31010
1937.86,30962
1940.93,30913
1933.05,31039
1942.31,30891
1942.82,30883
1937.55,30967
1942.38,30890
1941.56,30903
1942.88,30882
1942.38,30890
1942.82,30883
1940.74,30916
1947.48,30809
2308.58,25990
1680.53,35703
1942.25,30892
1952.11,30736
1941.12,30910
1949.95,30770
1947.48,30809
1947.42,30810
1946.79,30820
1954.78,30694
1949.51,30777
1944.52,30856
1953.57,30713
1950.2,30766
1954.46,30699
1951.09,30752
1946.16,30830
1957.71,30648
1946.85,30819
1955.86,30677
1952.68,30727
1950.59,30760
1959.5,30620
1951.16,30751
1955.93,30676
1941.5,30904
1930.87,31074
1930.56,31079
1911.92,31382
1904.46,31505
1895.85,31648
1889.82,31749
1875.7,31988
1871.02,32068
1866.48,32146
1854.31,32357
1852.65,32386
1839.64,32615
1835.42,32690
1828.99,32805
1825.26,32872
1814.28,33071
1812.31,33107
1807.39,33197
1802.78,33282
1797.32,33383
1791.63,33489
1782.9,33653
1783.38,33644
1783.96,33633
1772.37,33853
1774.31,33816
1768.29,33931
1759.27,34105
1762.48,34043
1755.98,34169
1752.23,34242
1751.16,34263
1742.21,34439
1744.59,34392
1746.27,34359
1737.67,34529
1738.02,34522
1738.07,34521
1731.35,34655
1734.05,34601
1727.66,34729
1727.66,34729
1727.12,34740
1724.58,34791
1720.48,34874
1724.39,34795
1723.64,34810
1716.84,34948
1720.68,34870
1717.33,34938
1716.64,34952
1712.52,35036
1717.28,34939
1712.33,35040
1713.89,35008
1712.77,35031
1710.67,35074
1712.43,35038
1705.76,35175
1706.97,35150
1707.75,35134
1706.39,35162
1709.01,35108
1706.1,35168
1704.26,35206
1706.53,35159
1707.16,35146
1709.21,35104
1703.53,35221
1706.87,35152
1705.56,35179
1705.9,35172
1704.74,35196
1703.38,35224
1701.79,35257
1705.81,35174
