RPM,deltaT
4267.73,14059
4241.48,14146
4256.53,14096
4216.74,14229
4196.98,14296
4176.53,14366
4147.37,14467
4151.96,14451
4108.46,14604
4115.79,14578
4088.03,14677
4050.77,14812
4044.76,14834
4033.88,14874
3990.69,15035
3983.01,15064
3974.56,15096
3943.48,15215
3907.27,15356
3915.43,15324
3882.74,15453
3847.14,15596
3828.97,15670
3843.2,15612
3792.19,15822
3787.64,15841
3745.32,16020
3743.92,16026
3713.33,16158
3688,16269
3662.11,16384
3659.21,16397
3621,16570
3618.16,16583
3584.87,16737
3575.9,16779
3539.41,16952
3509.39,17097
3492.43,17180
3478.46,17249
3443.92,17422
3423.88,17524
3409.67,17597
3358.9,17863
3370.22,17803
3320.97,18067
3305.06,18154
3276.72,18311
3260.16,18404
3241.84,18508
3200.68,18746
3192.51,18794
3155.74,19013
3117.37,19247
3103.66,19332
3086.42,19440
3059.51,19611
3026.94,19822
2996.55,20023
2978.85,20142
2945.65,20369
2933.27,20455
2892.54,20743
2873.29,20882
2828.45,21213
2817.7,21294
2787.84,21522
2749.77,21820
2726.03,22010
2695.18,22262
2663.35,22528
2633.54,22783
2598.42,23091
2581.31,23244
2535.28,23666
2512.14,23884
2478.52,24208
2439.72,24593
2412.64,24869
2378.03,25231
2349.07,25542
2311.25,25960
2277.56,26344
2242.74,26753
2200.46,27267
2167.4,27683
2132.73,28133
2089.28,28718
2049.81,29271
2015.86,29764
1973.23,30407
1934.36,31018
1892.68,31701
1850.77,32419
1802.29,33291
1758.91,34112
1715.27,34980
1662.19,36097
1615.2,37147
1571.3,38185
1516.88,39555
1463.31,41003
1409.81,42559
1351.44,44397
1288.96,46549
1225.37,48965
1156.25,51892
1086.54,55221
1011.94,59292
930.103,64509
836.61,71718
731.359,82039
610.656,98255
451.009,133035

